age,job_n,marital_n,education_n,default_n,housing_n,loan_n,duration,campaign,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m
42,3,0,0,0,0,0,100.0,4,1.4,93.918,-42.7,4.96
59,3,0,0,0,0,0,163.0,3,-2.9,92.201,-31.4,0.883
36,2,0,5,0,0,0,254.0,2,-1.1,94.767,-50.8,1.028
33,3,0,3,0,0,1,84.0,4,1.1,93.994,-36.4,4.859
42,0,0,1,0,1,0,95.0,3,-1.8,92.893,-46.2,1.27
30,6,0,5,0,1,0,644.5,2,-3.4,92.431,-26.9,0.742
54,6,2,5,0,1,1,265.0,2,-1.8,92.893,-46.2,1.334
31,4,0,4,0,1,0,125.0,1,1.4,93.444,-36.1,4.964
53,0,0,0,0,0,1,263.0,2,-2.9,92.963,-40.8,1.252
51,6,0,5,0,1,0,138.0,1,-2.9,92.201,-31.4,0.884
55,2,0,5,0,1,1,129.0,2,-1.7,94.215,-40.3,0.79
31,4,1,5,0,0,0,171.0,2,-0.1,93.2,-42.0,4.153
22,3,1,3,0,1,1,644.5,1,1.4,93.918,-42.7,4.96
32,2,1,5,0,1,0,96.0,1,1.4,93.918,-42.7,4.958
46,7,2,0,0,0,0,366.0,3,-0.1,93.2,-42.0,4.021
27,2,2,1,0,0,0,138.0,1,1.4,94.465,-41.8,4.958
47,3,2,0,0,0,1,37.0,1,1.1,93.994,-36.4,4.857
28,1,0,1,0,0,0,214.0,1,1.4,93.918,-42.7,4.962
23,3,1,3,0,1,0,644.5,1,-1.8,92.893,-46.2,1.299
35,2,0,1,0,1,0,350.0,3,-1.8,92.843,-50.0,1.799
48,1,0,0,0,1,0,644.5,3,1.4,93.444,-36.1,4.965
30,2,0,5,0,1,0,183.0,1,1.4,93.444,-36.1,4.963
40,4,0,4,0,1,0,580.0,1,-1.8,92.893,-46.2,1.266
33,2,0,5,0,1,0,64.0,1,1.4,93.444,-36.1,4.964
31,4,0,1,0,1,1,234.0,5,-1.8,92.893,-46.2,1.291
49,3,0,3,0,1,0,87.0,1,1.1,93.994,-36.4,4.859
34,8,1,5,0,1,0,148.0,2,1.1,93.994,-36.4,4.859
42,2,2,5,0,0,0,180.0,4,1.1,93.994,-36.4,4.859
50,9,0,1,0,1,1,644.5,6,-1.8,92.893,-46.2,1.25
56,4,0,5,0,0,0,196.0,4,1.4,94.465,-41.8,4.959
30,2,0,5,0,0,1,129.0,4,1.4,93.444,-36.1,4.968
34,2,1,1,0,1,0,239.0,1,-1.8,92.893,-46.2,1.281
24,3,1,3,0,1,0,471.0,2,1.4,93.918,-42.7,4.96
32,0,0,0,0,0,0,244.0,1,1.1,93.994,-36.4,4.86
58,6,2,5,0,1,0,174.0,5,1.4,93.918,-42.7,4.957
48,3,0,0,0,0,0,182.0,5,1.4,94.465,-41.8,4.864
