age,job_n,education_n,duration,campaign,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,y
42.0,3.0,0.0,100.0,4.0,1.4,93.918,-42.7,4.96,0
59.0,3.0,0.0,163.0,3.0,-2.9,92.201,-31.4,0.883,0
36.0,2.0,5.0,254.0,2.0,-1.1,94.767,-50.8,1.028,0
33.0,3.0,3.0,84.0,4.0,1.1,93.994,-36.4,4.859,0
42.0,0.0,1.0,95.0,3.0,-1.8,92.893,-46.2,1.27,0
30.0,6.0,5.0,644.5,2.0,-3.4,92.431,-26.9,0.742,1
54.0,6.0,5.0,265.0,2.0,-1.8,92.893,-46.2,1.334,0
31.0,4.0,4.0,125.0,1.0,1.4,93.444,-36.1,4.964,0
53.0,0.0,0.0,263.0,2.0,-2.9,92.963,-40.8,1.252,1
51.0,6.0,5.0,138.0,1.0,-2.9,92.201,-31.4,0.884,0
55.0,2.0,5.0,129.0,2.0,-1.7,94.215,-40.3,0.79,0
31.0,4.0,5.0,171.0,2.0,-0.1,93.2,-42.0,4.153,0
22.0,3.0,3.0,644.5,1.0,1.4,93.918,-42.7,4.96,1
32.0,2.0,5.0,96.0,1.0,1.4,93.918,-42.7,4.958,0
46.0,7.0,0.0,366.0,3.0,-0.1,93.2,-42.0,4.021,0
27.0,2.0,1.0,138.0,1.0,1.4,94.465,-41.8,4.958,0
47.0,3.0,0.0,37.0,1.0,1.1,93.994,-36.4,4.857,0
28.0,1.0,1.0,214.0,1.0,1.4,93.918,-42.7,4.962,0
23.0,3.0,3.0,644.5,1.0,-1.8,92.893,-46.2,1.299,1
35.0,2.0,1.0,350.0,3.0,-1.8,92.843,-50.0,1.799,1
48.0,1.0,0.0,644.5,3.0,1.4,93.444,-36.1,4.965,1
30.0,2.0,5.0,183.0,1.0,1.4,93.444,-36.1,4.963,0
40.0,4.0,4.0,580.0,1.0,-1.8,92.893,-46.2,1.266,0
33.0,2.0,5.0,64.0,1.0,1.4,93.444,-36.1,4.964,0
31.0,4.0,1.0,234.0,5.0,-1.8,92.893,-46.2,1.291,0
49.0,3.0,3.0,87.0,1.0,1.1,93.994,-36.4,4.859,0
34.0,8.0,5.0,148.0,2.0,1.1,93.994,-36.4,4.859,0
42.0,2.0,5.0,180.0,4.0,1.1,93.994,-36.4,4.859,0
50.0,9.0,1.0,644.5,6.0,-1.8,92.893,-46.2,1.25,0
56.0,4.0,5.0,196.0,4.0,1.4,94.465,-41.8,4.959,0
30.0,2.0,5.0,129.0,4.0,1.4,93.444,-36.1,4.968,0
34.0,2.0,1.0,239.0,1.0,-1.8,92.893,-46.2,1.281,0
24.0,3.0,3.0,471.0,2.0,1.4,93.918,-42.7,4.96,0
32.0,0.0,0.0,244.0,1.0,1.1,93.994,-36.4,4.86,0
58.0,6.0,5.0,174.0,5.0,1.4,93.918,-42.7,4.957,0
48.0,3.0,0.0,182.0,5.0,1.4,94.465,-41.8,4.864,0
49.0,3.0,3.0,95.0,1.0,1.4,94.465,-41.8,4.959,0
34.0,6.0,5.0,91.0,4.0,-0.1,93.2,-42.0,4.076,0
60.0,1.0,5.0,283.0,1.0,1.1,93.994,-36.4,4.856,0
24.0,2.0,1.0,493.0,1.0,1.4,93.918,-42.7,4.958,0
39.0,2.0,5.0,171.0,2.0,-0.1,93.2,-42.0,4.12,0
36.0,4.0,1.0,162.0,1.0,1.1,93.994,-36.4,4.857,0
57.0,4.0,4.0,68.0,2.0,1.4,93.918,-42.7,4.962,0
40.0,2.0,5.0,221.0,1.0,-1.8,93.075,-47.1,1.405,0
47.0,4.0,4.0,111.0,3.0,1.1,93.994,-36.4,4.855,0
47.0,3.0,3.0,295.0,1.0,-1.8,92.893,-46.2,1.344,0
33.0,3.0,0.0,496.0,2.0,-1.8,92.893,-46.2,1.281,1
40.0,3.0,0.0,181.0,2.0,1.4,94.465,-41.8,4.967,0
40.0,1.0,3.0,158.0,1.0,1.4,93.918,-42.7,4.958,0
30.0,9.0,5.0,223.0,1.0,-0.1,93.798,-40.4,5.045,1
39.0,3.0,3.0,249.0,4.0,1.1,93.994,-36.4,4.857,0
